subject,roi,M,T,SIM_prior_oracle_IN,SIM_hybrid_oracle_IN,PRIOR_ALIGNMENT_IN,SIM_prior_oracle_OUT,SIM_hybrid_oracle_OUT,PRIOR_ALIGNMENT_OUT
subj05,lateral,2,2,0.7698588116776305,0.7869396581337831,0.9372535863395905,0.006652687524478474,0.30046459653385393,0.05862425791478972
subj05,lateral,4,1,0.7698588116776305,0.791752564410665,0.8821802898531962,0.006652687524478473,0.24327986384330644,0.024787067163837162
subj05,lateral,6,1,0.7698588116776305,0.7984349823397122,0.8337903807535018,0.006652687524478473,0.2766816588860574,0.018155124480150976
subj05,lateral,4,2,0.7698588116776305,0.7978223614279998,0.8873239622669713,0.006652687524478472,0.3850245584470417,0.02416308937635923
subj05,lateral,10,8,0.7698588116776305,0.9578451509718313,0.8306893388737747,0.006652687524478473,0.9996008438222428,0.009488058549142444
subj06,lateral,2,1,0.7528990026785154,0.7934153815120771,0.91662922145126,0.01157074467760442,0.23972875420747108,0.07057244901384245
subj06,lateral,2,2,0.7528990026785152,0.7932499304844255,0.9149434966878855,0.011570744677604418,0.3607160640748415,0.0683490630260177
subj06,lateral,4,1,0.7528990026785153,0.8194802580464939,0.8644191916877517,0.01157074467760442,0.3160031780030459,0.022298279670309867
subj06,lateral,6,1,0.7528990026785153,0.8345380828887482,0.824181440583844,0.01157074467760442,0.36450626161919913,0.01589870192187225
subj06,lateral,4,2,0.7528990026785152,0.8225436982413538,0.8626963691168635,0.011570744677604418,0.47465588071562786,0.024575321507967565
subj06,lateral,10,8,0.7528990026785153,0.9862483252892562,0.7806382327150171,0.01157074467760442,0.9996676622842123,0.015127527047511857
subj07,lateral,2,1,0.7293915121791904,0.7485448449638925,0.9394006270088401,0.011039463226430589,0.3001559596169456,0.0870158858325329
subj07,lateral,2,2,0.7293915121791905,0.7484840895160728,0.9430158390195319,0.011039463226430587,0.4161979594433405,0.11045847521737642
subj07,lateral,4,1,0.7293915121791904,0.7689754054313109,0.8866020829586704,0.01103946322643059,0.4061032506494877,0.03401413634892723
subj07,lateral,6,1,0.7293915121791904,0.7868481179714033,0.8394061317918476,0.01103946322643059,0.4716213415161097,0.02561157080515039
subj07,lateral,4,2,0.7293915121791904,0.7688492950708978,0.8955692028324582,0.011039463226430589,0.5549203652504529,0.034765147484076026
subj07,lateral,10,8,0.7293915121791904,0.8736594974782393,0.8596934054766242,0.011039463226430589,0.999406684159046,0.0156294966935743
subj08,lateral,2,1,0.3361460903328723,0.4169084902247187,0.8087131737714882,0.007556033365491953,0.25490139144829854,0.13250684599379772
subj08,lateral,2,2,0.33614609033287224,0.4299691629347239,0.8063278816073937,0.007556033365491953,0.32800931980098014,0.14888142577931957
subj08,lateral,4,1,0.3361460903328723,0.4871772037549665,0.6494622297153486,0.007556033365491954,0.3367625726169849,0.022108493152589715
subj08,lateral,6,1,0.3361460903328723,0.5486352718440021,0.5127849273438047,0.007556033365491954,0.38551855773210475,0.012575243296259794
subj08,lateral,4,2,0.33614609033287224,0.5135210484447572,0.6454507202636568,0.007556033365491953,0.44167544840049444,0.023089457164223108
subj08,lateral,10,8,0.3361460903328723,0.9483718811729643,0.4481476843117234,0.007556033365491953,0.9995944987714993,0.010832832785354145
