participant,ROI,fold,n_voxels,d_vis,d_vis_reason,vis_peak_test_r,d_img,d_img_reason,img_peak_test_r,TV_vis,TV_img,alignment_ratio,alignment_evaluable,alignment_reason,align_d,null_mean,null_p05,null_p95,alignment_empirical_percentile,vis_projector_hash,img_projector_hash,v2v_r_model,v2i_r_model,dimension_ratio_fold
subj01,ventral,fold_3,153,1.0,OK,0.3138945260811921,1.0,OK,0.07527208966302194,43.82373615469244,22.579409259055097,0.5152324114802201,True,OK,1.0,0.06587765707416594,0.008826159674953569,0.21938065613466617,0.95,a5b2b005e09fe595,e21a3a7775c2d8f0,5,11,1.0
subj01,lateral,fold_0,156,1.0,OK,0.3188170932893,10.0,OK,0.11598418310538189,57.95466964380475,41.42164504308169,0.7147248927077542,True,OK,10.0,0.311745219808952,0.11354450349198146,0.8482806578980974,0.78,f3fa799dab99294f,95f04949b5dfef2e,8,8,10.0
subj01,lateral,fold_1,156,3.0,OK,0.343825280158041,10.0,OK,0.17243488805808524,100.05621246108535,62.25181160174303,0.6221683798590166,True,OK,10.0,0.26865092176691063,0.0708893623705744,0.8075075487418626,0.79,1c4e4b79d72b8b23,b0dee317df4e9bb4,5,9,3.3333333333333335
subj01,lateral,fold_2,156,2.0,OK,0.21727039695955042,2.0,OK,0.07973329396343143,55.91483929620686,28.529096613263086,0.5102240652455642,True,OK,2.0,0.07919735164413816,0.019546068218588664,0.1846171768072724,0.97,fae619c025010865,7485578648b8e120,3,11,1.0
subj01,lateral,fold_3,156,6.0,OK,0.3482140330775954,9.0,OK,0.1536146544893747,59.92256160444086,46.204944663831355,0.7710775945934712,True,OK,9.0,0.30867722929416336,0.1095225482286035,0.8682351337403644,0.78,37e7b6e46b1703f2,7fbe06e32923dd2a,11,12,1.5
subj01,parietal,fold_0,71,2.0,OK,0.3599262516172431,2.0,OK,0.2714818658451988,48.89360614341621,32.06398091344072,0.655790878246732,True,OK,2.0,0.06595115764246873,0.012215397594601472,0.08255320728322238,0.96,7fe15e02ef8e00dc,ad27f42d6c46fe98,6,2,1.0
subj01,parietal,fold_1,71,2.0,OK,0.39433510868114474,4.0,OK,0.07042698440758542,43.23269909636294,34.342578490267684,0.794365820503602,True,OK,4.0,0.08529985122792796,0.02973935849309174,0.20117069586651604,0.97,147e62c84fdea907,44bc1889d746595f,11,2,2.0
subj01,parietal,fold_2,71,11.0,OK,0.05459844458572548,,NOT_EVALUABLE_NONPOSITIVE_TEST_PEAK,-0.10073516912115138,,,,False,NON_EVALUABLE_DIMG_NOT_EVALUABLE_NONPOSITIVE_TEST_PEAK,,,,,,85bf796d3ab8eb51,,1,7,
subj01,parietal,fold_3,71,1.0,OK,0.24101140897519482,2.0,OK,0.13879107100681295,29.930308189893175,25.1062032236322,0.8388220750800698,True,OK,2.0,0.07174585027802478,0.014780999187006271,0.1362788438198076,0.97,49dd9ca2153d6281,d139ccdd9c74a6f1,2,1,2.0
subj02,V1,fold_0,23,2.0,OK,0.7663113284130899,3.0,OK,0.12874677549759114,17.20096196351426,11.001300017792548,0.6395746959459537,True,OK,3.0,0.20264632816156922,0.018379288483226015,0.9024248140172958,0.86,a0284d0c789cdb47,ffc64898b25ddddd,2,6,1.5
