participant,ROI,fold,model,rank,test_r,val_r
subj05,ventral,fold_0,vis2vis,7,0.13939305322834297,0.39427419544325615
subj05,ventral,fold_0,vis2vis,8,0.13475338914914786,0.39766679184494025
subj05,ventral,fold_0,vis2vis,9,0.13978083655510173,0.39709290657046786
subj05,ventral,fold_0,vis2vis,10,0.1279641109253855,0.3989486031133919
subj05,ventral,fold_0,vis2vis,11,0.13370423731968298,0.40937489979872305
subj05,ventral,fold_0,vis2vis,12,0.1409012993335696,0.4086813181565629
subj05,ventral,fold_1,vis2vis,1,-0.12483088475120192,0.1865656789142414
subj05,ventral,fold_1,vis2vis,2,0.053175893949876284,0.30899840072560514
subj05,ventral,fold_1,vis2vis,3,0.09214465318555587,0.3283900418720564
subj05,ventral,fold_1,vis2vis,4,0.10321860092675916,0.3202026899230922
subj05,ventral,fold_1,vis2vis,5,0.11206328356883039,0.3338823972250416
subj05,ventral,fold_1,vis2vis,6,0.16857803451843234,0.34577127663062335
subj05,ventral,fold_1,vis2vis,7,0.15462062877317784,0.34084220976250706
subj05,ventral,fold_1,vis2vis,8,0.15209212516554943,0.3366274776117304
subj05,ventral,fold_1,vis2vis,9,0.14276555542469313,0.33611833201615776
subj05,ventral,fold_1,vis2vis,10,0.14735236588154774,0.34293541692151663
subj05,ventral,fold_1,vis2vis,11,0.14573987709578531,0.3457983750062264
subj05,ventral,fold_1,vis2vis,12,0.1491339268178858,0.34578617804905704
subj05,ventral,fold_2,vis2vis,1,0.07509602285115112,0.2273106312621456
subj05,ventral,fold_2,vis2vis,2,0.1830113476510941,0.33504295535666523
subj05,ventral,fold_2,vis2vis,3,0.1268378910236507,0.3379764713367024
subj05,ventral,fold_2,vis2vis,4,0.1397507664598657,0.3622433736720457
subj05,ventral,fold_2,vis2vis,5,0.1395052838112506,0.37395811887076214
subj05,ventral,fold_2,vis2vis,6,0.135380332189382,0.37512898676104495
subj05,ventral,fold_2,vis2vis,7,0.10754538565672617,0.3822858794375828
subj05,ventral,fold_2,vis2vis,8,0.10776069257185285,0.3798756673686409
subj05,ventral,fold_2,vis2vis,9,0.09930389354316967,0.3909107710709197
subj05,ventral,fold_2,vis2vis,10,0.09687747302526062,0.389856983979931
subj05,ventral,fold_2,vis2vis,11,0.09120989436785526,0.3904055245614377
subj05,ventral,fold_2,vis2vis,12,0.09600553048101335,0.3932708514478378
subj05,ventral,fold_3,vis2vis,1,0.25871261303900445,0.2045083757011255
subj05,ventral,fold_3,vis2vis,2,0.306813079245488,0.25020261517253795
subj05,ventral,fold_3,vis2vis,3,0.28995751406403397,0.277193743635929
subj05,ventral,fold_3,vis2vis,4,0.32527834668071853,0.3126638663664548
subj05,ventral,fold_3,vis2vis,5,0.30724722452932296,0.31531591777795964
subj05,ventral,fold_3,vis2vis,6,0.30610729576284706,0.3088525022193719
subj05,ventral,fold_3,vis2vis,7,0.3109602226823257,0.31818339385478356
subj05,ventral,fold_3,vis2vis,8,0.310804782327113,0.31652411368372774
subj05,ventral,fold_3,vis2vis,9,0.3131760174001182,0.32686272908649155
subj05,ventral,fold_3,vis2vis,10,0.3125290321224544,0.32251922081391804
subj05,ventral,fold_3,vis2vis,11,0.3086011905749823,0.32356543232947743
subj05,ventral,fold_3,vis2vis,12,0.30166897229029416,0.32256701393609005
subj05,lateral,fold_0,vis2vis,1,0.15041183643732295,0.3729156421733618
subj05,lateral,fold_0,vis2vis,2,0.38765829642904065,0.4193617720993061
subj05,lateral,fold_0,vis2vis,3,0.33315273913126286,0.4227269181061386
subj05,lateral,fold_0,vis2vis,4,0.3530991711570533,0.432110486155647
subj05,lateral,fold_0,vis2vis,5,0.3839150628702828,0.44708137069742243
subj05,lateral,fold_0,vis2vis,6,0.3723540046916926,0.45482830466060664
subj05,lateral,fold_0,vis2vis,7,0.37446997184739206,0.4555588407397537
subj05,lateral,fold_0,vis2vis,8,0.3628653137470443,0.46190779259389436
subj05,lateral,fold_0,vis2vis,9,0.36491129799163363,0.4644367883327701
subj05,lateral,fold_0,vis2vis,10,0.3684701297977886,0.4704371464944849
subj05,lateral,fold_0,vis2vis,11,0.37652003568697867,0.4713725909849166
subj05,lateral,fold_0,vis2vis,12,0.38146465767522486,0.4702136842532626
subj05,lateral,fold_1,vis2vis,1,0.2117008300716994,0.3673513526520171
subj05,lateral,fold_1,vis2vis,2,0.3619994596963776,0.5025403659384319
subj05,lateral,fold_1,vis2vis,3,0.345030860063566,0.5079755978827522
subj05,lateral,fold_1,vis2vis,4,0.34547151165245443,0.511374946601005
subj05,lateral,fold_1,vis2vis,5,0.34225140452370145,0.5133951452493687
subj05,lateral,fold_1,vis2vis,6,0.353502387266163,0.5229707257598133
subj05,lateral,fold_1,vis2vis,7,0.3693050522367483,0.5375153151892229
subj05,lateral,fold_1,vis2vis,8,0.3715115564437298,0.5399603738263394
subj05,lateral,fold_1,vis2vis,9,0.3854238407437928,0.5392598689605514
subj05,lateral,fold_1,vis2vis,10,0.3869363553933637,0.5391859020936177
subj05,lateral,fold_1,vis2vis,11,0.39768488760064896,0.540493550755601
subj05,lateral,fold_1,vis2vis,12,0.4057843347348787,0.5419978215333396
subj05,lateral,fold_2,vis2vis,1,-0.03756243779705238,0.48880398287249605
subj05,lateral,fold_2,vis2vis,2,-0.026247594638805934,0.4857677581925584
subj05,lateral,fold_2,vis2vis,3,-0.009044205022108821,0.5074048137313761
subj05,lateral,fold_2,vis2vis,4,0.0019131325769451352,0.523916101615162
subj05,lateral,fold_2,vis2vis,5,0.0016257046452760498,0.5242315563917215
subj05,lateral,fold_2,vis2vis,6,-0.01131016575638263,0.5266641531833453
subj05,lateral,fold_2,vis2vis,7,-0.011675400340012828,0.5299362089669463
subj05,lateral,fold_2,vis2vis,8,-0.022665181682831888,0.5342226016912471
subj05,lateral,fold_2,vis2vis,9,-0.0221715259670517,0.5303064702122624
subj05,lateral,fold_2,vis2vis,10,-0.02156772955783356,0.5311832877542567
subj05,lateral,fold_2,vis2vis,11,-0.022755503446534785,0.531197568985534
subj05,lateral,fold_2,vis2vis,12,-0.021721900514468994,0.5311254327069062
subj05,lateral,fold_3,vis2vis,1,0.3800271070193522,0.2943333015219803
