participant,ROI,model,held_out_r,classification
subj08,ventral,O2,0.4700220500429471,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,ventral,O3,0.4376835835521998,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,ventral,O4,0.5282303568371683,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,lateral,O0,0.4863883542517821,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,lateral,O1,0.47291123991211254,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,lateral,O2,0.5157022724548975,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,lateral,O3,0.6413801483914141,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,lateral,O4,0.6943210534576538,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,parietal,O0,0.559362874366343,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,parietal,O1,0.5483648143708706,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,parietal,O2,0.5590622220188379,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,parietal,O3,0.5697616096230411,FULL_CROSS_VOXEL_OPERATOR_NEEDED
subj08,parietal,O4,0.5948707407023252,FULL_CROSS_VOXEL_OPERATOR_NEEDED
