subject,roi,fold,component,median_Q_success,median_Q_fail
subj03,ventral,4,OUT,0.35306491822146224,0.2661485235462895
subj03,ventral,5,IN,0.37646275720851985,0.35406698756627286
subj03,ventral,5,OUT,0.35589167415260625,0.25597935773971
subj04,ventral,0,IN,0.4553796978911244,0.4631063475731503
subj04,ventral,0,OUT,0.34554379149260517,0.27786264244909925
subj04,ventral,1,IN,0.46600971201138286,0.44055029789683275
subj04,ventral,1,OUT,0.421383052037179,0.3229278538796249
subj04,ventral,2,IN,0.4819397164517044,0.44130183356787217
subj04,ventral,2,OUT,0.38226925238138715,0.23041373926479908
subj04,ventral,3,IN,0.45610321847811797,0.43170578737203913
subj04,ventral,3,OUT,0.3878066665936667,0.26603579275758915
subj04,ventral,4,IN,0.4597017657491201,0.4297730323980548
subj04,ventral,4,OUT,0.3618860184630146,0.29738364261364475
subj04,ventral,5,IN,0.4751230616175234,0.4335216000552876
subj04,ventral,5,OUT,0.43454625477977904,0.28383956751917505
subj05,ventral,0,IN,0.4116409188539999,0.3526857720872125
subj05,ventral,0,OUT,0.3884808122411595,0.2823699274751243
subj05,ventral,1,IN,0.3968475262178111,0.3636515295124275
subj05,ventral,1,OUT,0.37535766657646397,0.2919869270890789
subj05,ventral,2,IN,0.42153238761426404,0.3997457116761846
subj05,ventral,2,OUT,0.38933432495081155,0.31072221567017944
subj05,ventral,3,IN,0.41908812804967455,0.3873628386090265
subj05,ventral,3,OUT,0.41045200002405857,0.33567384402754574
subj05,ventral,4,IN,0.42095103297294334,0.377697982365522
subj05,ventral,4,OUT,0.40970061320439666,0.26599793096197033
subj05,ventral,5,IN,0.39011886637905857,0.3591207813702503
subj05,ventral,5,OUT,0.3855579054334467,0.2710841492684598
subj06,ventral,0,IN,0.34134306007877807,0.30848377426270224
subj06,ventral,0,OUT,0.34215377787424145,0.2840973863221093
subj06,ventral,1,IN,0.3680286836211954,0.3268130609908523
subj06,ventral,1,OUT,0.35468776927453916,0.3279235875380006
subj06,ventral,2,IN,0.33347871681846897,0.3013769033074589
subj06,ventral,2,OUT,0.3577360210843068,0.29460345553062073
