subject,roi,family,component,fold,SIM_PRIOR,SIM_CORR,SIM_NULL_mean,E_GEOM
subj03,lateral,anatomy,IN,0,0.5244619462837015,0.32776025744750803,0.35185703931854456,-0.024096781871036532
subj03,lateral,anatomy,IN,1,0.47644768945256016,0.3099498608280625,0.3267607768110538,-0.016810915982991337
subj03,lateral,anatomy,IN,2,0.5750470180013646,0.3162768722323808,0.3730541703151775,-0.05677729808279669
subj03,lateral,anatomy,IN,3,0.5154751852682355,0.3325313351213737,0.3485550217313628,-0.01602368660998915
subj03,lateral,anatomy,IN,4,0.507153757512338,0.31586745453947657,0.36128720860357477,-0.045419754064098206
subj03,lateral,anatomy,IN,5,0.5340445449767742,0.3706194439134483,0.35904353873121225,0.011575905182236057
subj03,lateral,anatomy,OUT,0,0.26959220759640096,0.13379395314128584,0.1292606000623432,0.004533353078942648
subj03,lateral,anatomy,OUT,1,0.24314643439508968,0.1193907474309041,0.14453942732154995,-0.025148679890645856
subj03,lateral,anatomy,OUT,2,0.24676478930538875,0.11919274251673671,0.1407004380005463,-0.021507695483809583
subj03,lateral,anatomy,OUT,3,0.2353621750535963,0.10792271213194246,0.1374873737079031,-0.029564661575960632
subj03,lateral,anatomy,OUT,4,0.2395184798292898,0.12610628480505942,0.11547664608681851,0.010629638718240908
