subject,roi,fold,identity,split_id,SPLIT_HALF_COS2
subj01,ventral,1,B:B,6,0.20491592572458572
subj01,ventral,1,B:B,7,0.24950235915341926
subj01,ventral,1,B:B,8,0.3015867016403287
subj01,ventral,1,B:B,9,0.10048680162905022
subj01,ventral,1,B:B,10,0.09808077579501455
subj01,ventral,1,B:B,11,0.15041816005970804
subj01,ventral,1,B:B,12,0.18095463301244882
subj01,ventral,1,B:B,13,0.08581617392015391
subj01,ventral,1,B:B,14,0.12507573383624532
subj01,ventral,1,B:B,15,0.005603437829782517
subj01,ventral,1,B:B,16,0.12931158256382388
subj01,ventral,1,B:B,17,0.10781537335965939
subj01,ventral,1,B:B,18,0.2664089433470811
subj01,ventral,1,B:B,19,0.1474229935059091
subj01,ventral,1,B:B,20,0.09473928104976134
subj01,ventral,1,B:B,21,0.2915608177399886
subj01,ventral,1,B:B,22,0.20540004572389073
subj01,ventral,1,B:B,23,0.20630053331658746
subj01,ventral,1,B:B,24,0.19813356091947112
subj01,ventral,1,B:B,25,0.16798615400453573
subj01,ventral,1,B:B,26,0.18523693981470551
subj01,ventral,1,B:B,27,0.2931698115933558
