subject,roi,fold,identity_idx,leak_ratio
subj01,lateral,1,6,4.441705304895937e-16
subj01,lateral,1,7,3.781885386672548e-16
subj01,lateral,1,8,2.5657638902897457e-16
subj01,lateral,1,9,4.1013045022455206e-16
subj01,lateral,2,0,4.882378987990273e-16
subj01,lateral,2,1,4.328580415709864e-16
subj01,lateral,2,2,5.62948290287251e-16
subj01,lateral,2,3,5.753331351816745e-16
subj01,lateral,2,4,5.645161826264934e-16
subj01,lateral,2,5,4.514001995674252e-16
subj01,lateral,2,6,7.43942593687756e-16
subj01,lateral,2,7,5.045442124934979e-16
subj01,lateral,2,8,2.492250673730129e-16
subj01,lateral,2,9,5.418813754497862e-16
subj01,lateral,3,0,5.106551805463865e-16
subj01,lateral,3,1,3.5221306443363785e-16
subj01,lateral,3,2,4.820109609952341e-16
subj01,lateral,3,3,6.48265248532863e-16
subj01,lateral,3,4,6.156716675194612e-16
subj01,lateral,3,5,4.725406694166372e-16
subj01,lateral,3,6,7.666030288796207e-16
subj01,lateral,3,7,5.002903921542097e-16
subj01,lateral,3,8,2.67651061424385e-16
subj01,lateral,3,9,3.4863669481623336e-16
subj01,lateral,4,0,3.9898868806765276e-16
subj01,lateral,4,1,3.3253114432250564e-16
subj01,lateral,4,2,4.448032733589603e-16
subj01,lateral,4,3,5.983935244020059e-16
subj01,lateral,4,4,5.777153680566381e-16
subj01,lateral,4,5,4.77134822570517e-16
subj01,lateral,4,6,8.29285191426937e-16
subj01,lateral,4,7,5.881142784462474e-16
subj01,lateral,4,8,4.539392183449323e-16
subj01,lateral,4,9,4.639385986641844e-16
subj01,lateral,5,0,5.565923166823639e-16
subj01,lateral,5,1,3.249087946321026e-16
subj01,lateral,5,2,4.942892960792556e-16
subj01,lateral,5,3,5.550841314913014e-16
subj01,lateral,5,4,6.107804738143524e-16
subj01,lateral,5,5,4.4040710889109504e-16
subj01,lateral,5,6,9.322033841403653e-16
subj01,lateral,5,7,4.524750011019689e-16
subj01,lateral,5,8,2.53739822909834e-16
subj01,lateral,5,9,2.4311774446882653e-16
subj02,lateral,0,0,4.522453773946293e-16
subj02,lateral,0,1,3.493970325710433e-16
subj02,lateral,0,2,4.499051441951714e-16
subj02,lateral,0,3,4.128575275784433e-16
subj02,lateral,0,4,2.809411690127568e-16
subj02,lateral,0,5,4.917400625539374e-16
subj02,lateral,0,6,1.8620324817493384e-16
subj02,lateral,0,7,4.944396526810694e-16
subj02,lateral,0,8,3.8877473974643303e-16
subj02,lateral,0,9,5.108751203604197e-16
subj02,lateral,1,0,2.800686824353224e-16
subj02,lateral,1,1,2.9051980768435307e-16
subj02,lateral,1,2,2.9289040831454122e-16
subj02,lateral,1,3,2.0898501612200757e-16
subj02,lateral,1,4,3.267939709921649e-16
subj02,lateral,1,5,5.502610374541797e-16
subj02,lateral,1,6,3.3602583299555554e-16
subj02,lateral,1,7,5.456768580301545e-16
subj02,lateral,1,8,4.578853160970731e-16
subj02,lateral,1,9,4.752516837622432e-16
subj02,lateral,2,0,2.541677590565721e-16
subj02,lateral,2,1,2.0295466335820266e-16
subj02,lateral,2,2,2.4753586371374443e-16
subj02,lateral,2,3,2.4036641604469447e-16
subj02,lateral,2,4,2.0254463028703144e-16
subj02,lateral,2,5,6.384697984500165e-16
subj02,lateral,2,6,3.357783259338152e-16
subj02,lateral,2,7,5.454015400357821e-16
subj02,lateral,2,8,3.9787210152378735e-16
subj02,lateral,2,9,5.679316189915626e-16
subj02,lateral,3,0,3.9697488723504936e-16
subj02,lateral,3,1,3.069588727590114e-16
subj02,lateral,3,2,3.242452062184606e-16
subj02,lateral,3,3,3.2738288471051894e-16
subj02,lateral,3,4,5.430648458104367e-16
subj02,lateral,3,5,5.055496458297178e-16
subj02,lateral,3,6,3.9655146190557673e-16
subj02,lateral,3,7,2.856896153295666e-16
subj02,lateral,3,8,3.9275970035760825e-16
subj02,lateral,3,9,5.465823735710357e-16
subj02,lateral,4,0,3.6893972516480393e-16
subj02,lateral,4,1,2.5435655946777575e-16
subj02,lateral,4,2,2.3292421551987553e-16
subj02,lateral,4,3,2.797243267307836e-16
subj02,lateral,4,4,2.3195072175414973e-16
subj02,lateral,4,5,4.4151766629195853e-16
subj02,lateral,4,6,2.104700401129258e-16
subj02,lateral,4,7,3.792541039431178e-16
subj02,lateral,4,8,4.791978293484358e-16
subj02,lateral,4,9,4.596939154833528e-16
subj02,lateral,5,0,3.4795373467414033e-16
subj02,lateral,5,1,2.8165626052644e-16
subj02,lateral,5,2,3.272161677237461e-16
subj02,lateral,5,3,2.545432086347526e-16
subj02,lateral,5,4,2.671178687262654e-16
subj02,lateral,5,5,4.682688795118769e-16
subj02,lateral,5,6,2.813867736382351e-16
