subject,roi,M,d,R_BASE,R_COND,R_AUG
subj08,ventral,8,2,0.13905835107736855,0.4284877033528927,0.4341669842615922
subj08,ventral,8,4,0.13905835107736855,0.6292252220175826,0.6124626938845236
subj08,ventral,8,6,0.13905835107736855,0.6895002417425804,0.6569336125141488
subj08,ventral,8,8,0.13905835107736855,0.7008956782769925,0.6732421306782124
subj08,ventral,10,1,0.1399534312175832,0.3318348010738848,0.3318348010738848
subj08,ventral,10,2,0.1399534312175832,0.4293827834931074,0.4293827834931074
subj08,ventral,10,4,0.1399534312175832,0.6301203021577971,0.6301203021577971
subj08,ventral,10,6,0.1399534312175832,0.6903953218827951,0.6903953218827951
subj08,ventral,10,8,0.1399534312175832,0.7017907584172072,0.7017907584172072
subj08,ventral,10,10,0.1399534312175832,0.7135821961999679,0.7135821961999679
subj01,lateral,2,1,0.1450202817715713,0.6137575584408386,0.5446915029904745
subj01,lateral,2,2,0.1450202817715713,0.7346326195231132,0.6254447468226015
subj01,lateral,4,1,0.14989442394729816,0.6186317006165655,0.5902931883648542
subj01,lateral,4,2,0.14989442394729816,0.7395067616988401,0.6904859976867227
subj01,lateral,4,4,0.14989442394729816,0.7520590625925263,0.7035307509061847
subj01,lateral,6,1,0.15124264979332405,0.6199799264625913,0.6070019951103075
subj01,lateral,6,2,0.15124264979332405,0.740854987544866,0.7177656033424697
subj01,lateral,6,4,0.15124264979332405,0.7534072884385523,0.7291371984053501
subj01,lateral,6,6,0.15124264979332405,0.7611964049231136,0.7384547480745147
subj01,lateral,8,1,0.1517224850411847,0.6204597617104519,0.615518086550411
subj01,lateral,8,2,0.1517224850411847,0.7413348227927267,0.732438795653374
subj01,lateral,8,4,0.1517224850411847,0.7538871236864129,0.7439869897334724
subj01,lateral,8,6,0.1517224850411847,0.7616762401709742,0.7519079688436358
subj01,lateral,8,8,0.1517224850411847,0.7657869735290689,0.7597841432078369
subj01,lateral,10,1,0.15189291903481877,0.6206301957040861,0.6206301957040861
subj01,lateral,10,2,0.15189291903481877,0.7415052567863607,0.7415052567863607
subj01,lateral,10,4,0.15189291903481877,0.754057557680047,0.754057557680047
subj01,lateral,10,6,0.15189291903481877,0.7618466741646083,0.7618466741646083
subj01,lateral,10,8,0.15189291903481877,0.7659574075227029,0.7659574075227029
subj01,lateral,10,10,0.15189291903481877,0.7752153039010321,0.7752153039010321
subj02,lateral,2,1,0.1343657907337327,0.5277003580952397,0.44114281117965426
subj02,lateral,2,2,0.1343657907337327,0.6502175425690789,0.5308267480781116
subj02,lateral,4,1,0.14120208708070042,0.5345366544422074,0.49735996276144245
subj02,lateral,4,2,0.14120208708070042,0.6570538389160467,0.602403928560028
subj02,lateral,4,4,0.14120208708070042,0.7026690308075225,0.634678861767542
subj02,lateral,6,1,0.14717111604813674,0.5405056834096437,0.5231495440147884
subj02,lateral,6,2,0.14717111604813674,0.663022867883483,0.6367922330510408
subj02,lateral,6,4,0.14717111604813674,0.708638059774959,0.6784389995218799
subj02,lateral,6,6,0.14717111604813674,0.7405333404147291,0.6961043812409287
subj02,lateral,8,1,0.14926292793776624,0.5425974952992733,0.5359275187019845
subj02,lateral,8,2,0.14926292793776624,0.6651146797731127,0.6547038407455945
subj02,lateral,8,4,0.14926292793776624,0.7107298716645883,0.6970834490409202
subj02,lateral,8,6,0.14926292793776624,0.7426251523043584,0.7220127970037017
subj02,lateral,8,8,0.14926292793776624,0.7530363352827374,0.7402698262570472
subj02,lateral,10,1,0.14843116712269896,0.5417657344842061,0.5417657344842061
subj02,lateral,10,2,0.14843116712269896,0.6642829189580454,0.6642829189580454
subj02,lateral,10,4,0.14843116712269896,0.7098981108495211,0.7098981108495211
subj02,lateral,10,6,0.14843116712269896,0.7417933914892912,0.7417933914892912
subj02,lateral,10,8,0.14843116712269896,0.7522045744676701,0.7522045744676701
subj02,lateral,10,10,0.14843116712269896,0.7753310957767005,0.7753310957767005
subj03,lateral,2,1,0.19241117387728202,0.5558215811716878,0.4865848869982128
