subject,roi,M,d,OUT_BASIS_RECOVERY,R_AUG_minus_BASE,R_COND_minus_BASE
subj06,lateral,6,4,0.9390668129769962,0.5608361995227756,0.5972271533532664
subj06,lateral,6,6,0.9430620526231043,0.5745879763194572,0.6092790763038919
subj06,lateral,8,1,0.9840572582831683,0.42775118686777774,0.43468119691942747
subj06,lateral,8,2,0.9792189986080075,0.5420990382532815,0.5536034727919836
subj06,lateral,8,4,0.9769634733697266,0.5834691141307216,0.5972271533532665
subj06,lateral,8,6,0.9782516519445326,0.5960282628895213,0.609279076303892
subj06,lateral,8,8,0.9746759365450866,0.6067283642149777,0.6224924012853288
subj06,lateral,10,1,1.0,0.4346811969194275,0.4346811969194275
subj06,lateral,10,2,1.0,0.5536034727919837,0.5536034727919837
subj06,lateral,10,4,1.0,0.5972271533532665,0.5972271533532665
subj06,lateral,10,6,1.0,0.6092790763038921,0.6092790763038921
subj06,lateral,10,8,1.0,0.6224924012853288,0.6224924012853288
subj06,lateral,10,10,1.0,0.6297052477988563,0.6297052477988563
subj07,lateral,2,1,0.8653737899443941,0.41462918368127655,0.4791330503641891
subj07,lateral,2,2,0.8303231190829771,0.511648543631817,0.6162041401387093
subj07,lateral,4,1,0.9453444567150834,0.452945773190775,0.4791330503641891
subj07,lateral,4,2,0.9253058766249437,0.570177312070968,0.6162041401387093
subj07,lateral,4,4,0.9228364275126397,0.5804400404304882,0.6289739146892727
subj07,lateral,6,1,0.9750071154201055,0.46715813333802414,0.4791330503641891
subj07,lateral,6,2,0.9645902639799996,0.5943845142019664,0.6162041401387094
subj07,lateral,6,4,0.9615969909316641,0.6048194237397139,0.6289739146892728
subj07,lateral,6,6,0.9698782179735086,0.6122799747380687,0.6312957270216709
subj07,lateral,8,1,0.9904874913207973,0.47457529306410684,0.4791330503641891
