participant,ROI,beta,fold,n_voxels,v2v_lam,v2v_rank,v2v_val,v2i_lam,v2i_rank,v2i_val,test_r,median,std,finite_frac,target_constant,prediction_constant
subj01,parietal,B0,1,71,70.54802310718645,9,0.18290667214033196,259.5024211399737,3,0.2545367857982058,0.06613814685164578,0.06503524830651881,0.24992064961972818,1.0,0,0
subj01,parietal,B0,2,71,2.9836472402833403,2,0.0891185575951703,1149.756995397738,1,0.17658215957770892,0.1942765725344931,0.23777558923949818,0.27470645073791145,1.0,0,0
subj01,parietal,B0,3,71,2.4770763559917115,2,0.2915560323531478,1149.756995397738,1,0.19492423444148324,0.17636467146474075,0.17129623620726345,0.23328301281668298,1.0,0,0
subj01,parietal,B1,0,71,0.001,2,0.13463937070590287,0.0030538555088334154,4,0.08531937828089547,-0.030750020372012566,-0.030952869421022627,0.1563209948706218,1.0,0,0
subj01,parietal,B1,1,71,5.21400828799969,11,0.09188848000758856,0.0093260334688322,4,0.05021013505441536,-0.05299404105880016,-0.06116695741357293,0.11506027612117815,1.0,0,0
subj01,parietal,B1,2,71,0.001,1,0.010045908533361486,0.0025353644939701114,10,-0.13222360882243533,-0.06382383993239896,-0.08182690137242034,0.1432268983424821,1.0,0,0
subj01,parietal,B1,3,71,0.001,1,0.05818495915470457,0.05994842503189412,7,-0.02751599673234907,-0.16487908060100523,-0.20652782138017844,0.18461876411193176,1.0,0,0
subj02,V1,B0,0,23,2.0565123083486534,2,0.6295687052037725,5.21400828799969,1,0.09160441536516925,0.2573344321826523,0.2827447979364985,0.2173945821702605,1.0,0,0
subj02,V1,B0,1,23,9.111627561154895,4,0.6758755003458405,100000.0,1,0.07077662618261306,0.1805085090792093,0.23693572846716612,0.26879952594326734,1.0,0,0
subj02,V1,B0,2,23,2.4770763559917115,2,0.6924380791693591,0.001,6,0.11658525426362508,0.21581375300858793,0.25471267322396707,0.19600688258680574,1.0,0,0
subj02,V1,B0,3,23,2.9836472402833403,4,0.7332647582686268,0.04132012400115339,3,0.245802280435737,0.18896525970533642,0.20900809704327336,0.14993095172640705,1.0,0,0
subj02,V1,B1,0,23,19.179102616724887,4,0.5553559567312946,1.1768119524349991,6,0.12307707616597449,0.08683529900445384,0.1129530866666297,0.19027295498510982,1.0,0,0
subj02,V1,B1,1,23,9.111627561154895,5,0.560684241388916,2.0565123083486534,4,0.05675993055342032,-0.05076689310743764,-0.09249620698999875,0.1807183305015082,1.0,0,0
subj02,V1,B1,2,23,6.280291441834259,3,0.6162442421809043,0.001,8,0.1400764832967774,0.021399028504320957,-0.010607619090400214,0.2049542867571791,1.0,0,0
subj02,V1,B1,3,23,102.35310218990269,4,0.7165887952318776,100000.0,2,0.15632541411383732,0.06278862703326675,0.04247752525982407,0.12308698251332238,1.0,0,0
subj02,V2,B0,0,22,10.974987654930567,5,0.6290588168667953,100000.0,3,0.2090653258450697,0.10290260194111162,0.036426027804633436,0.21546936784069712,1.0,0,0
subj02,V2,B0,1,22,27.825594022071257,6,0.6484855904417857,0.001,12,0.205735481339026,0.0004089543484566769,-0.03887921874370796,0.28443351871614875,1.0,0,0
subj02,V2,B0,2,22,19.179102616724887,6,0.653388850723667,0.0036783797718286343,1,0.22611301137001122,0.04000613770307146,0.09723724364362941,0.15367697468690297,1.0,0,0
subj02,V2,B0,3,22,58.57020818056673,4,0.667685470893783,2009.23300256505,1,0.102922261467226,0.10709005988087412,0.08367474440813033,0.2143655650315543,1.0,0,0
subj02,V2,B1,0,22,58.57020818056673,5,0.6818858580719486,178.8649529057435,1,0.3237053482538068,-0.2025100659887578,-0.28554336547653836,0.21572414955568692,1.0,0,0
subj02,V2,B1,1,22,102.35310218990269,5,0.6435864758323481,0.03430469286314919,3,0.16127181265573337,0.16060459559408008,0.1535762306208133,0.19656396453204314,1.0,0,0
subj02,V2,B1,2,22,58.57020818056673,5,0.6700255273845354,0.05994842503189412,1,0.2619298962589047,-0.08398629206435808,-0.09294030844825604,0.14634651129746393,1.0,0,0
subj02,V2,B1,3,22,19.179102616724887,4,0.6203044899783996,0.0014508287784959402,9,0.10783050277358344,0.12286960968740691,0.164575075107049,0.2319415756162388,1.0,0,0
subj02,V3,B0,0,22,1.4174741629268062,4,0.64438390473006,178.8649529057435,1,0.149162956322092,0.2014963814061985,0.17386151570859032,0.23185113126034912,1.0,0,0
subj02,V3,B0,1,22,5.21400828799969,5,0.6656438641140608,178.8649529057435,1,0.1817151616556372,0.15722748745690407,0.10891718963170004,0.19315076508793488,1.0,0,0
subj02,V3,B0,2,22,4.328761281083062,5,0.6460804670703421,0.013530477745798075,4,0.1852974966031483,0.21348110808790433,0.20655842454659679,0.22068672806086678,1.0,0,0
subj02,V3,B0,3,22,215.44346900318865,3,0.6659352997045795,19.179102616724887,1,0.22411752682520325,0.15085731169274721,0.061796398209189925,0.21692185786629872,1.0,0,0
subj02,V3,B1,0,22,48.62601580065353,4,0.5811121829090443,792.4828983539186,1,0.2616611413619918,0.08233843444806403,0.06595954300266368,0.19048384818660866,1.0,0,0
subj02,V3,B1,1,22,84.97534359086455,5,0.5648376995648219,0.004430621457583882,1,0.20049077318441927,0.020174481644326007,-0.030594932414094302,0.25007875423034737,1.0,0,0
subj02,V3,B1,2,22,48.62601580065353,5,0.6015099493957191,102.35310218990269,1,0.2984619879439103,0.14096497735852484,0.13637145793480007,0.17878495702146313,1.0,0,0
subj02,V3,B1,3,22,657.9332246575682,3,0.6189543475575969,0.001,3,0.17266705470010202,0.13300860211000612,0.16949416293819378,0.20069520606437521,1.0,0,0
