participant,ROI,beta,fold,n_voxels,v2v_lambda_median,v2v_r_model,v2i_lambda_min,v2i_lambda_median,v2i_lambda_max,v2i_n_unique_lambdas,v2i_r_model,val_score,test_mean_r,test_median_r,finite_frac,target_constant,prediction_constant,null_mean,null_p95_mean,fraction_voxels_above_null_p95
subj01,ventral,B1,2,153,148.49682622544665,11,0.001,27.825594022071257,100000.0,45,12,0.13912166799245482,-0.041616534589347096,-0.06248736136211618,1.0,0,0,0.0016169203947846561,0.34646782152129935,0.032679738562091505
subj01,ventral,B1,3,153,123.28467394420684,5,0.001,33.516026509388475,100000.0,55,9,0.0845563322032941,0.05026734803750576,0.06214860094749695,1.0,0,0,0.00041484087684364953,0.3436900538482011,0.10457516339869281
subj01,lateral,B0,0,156,178.8649529057435,8,0.001,104.1300087675357,100000.0,47,8,0.17787044885534245,0.10593152865606584,0.09126832156920171,1.0,0,0,-0.0015188907122204675,0.3417900456650163,0.21153846153846154
subj01,lateral,B0,1,156,53.598111990610136,5,0.001,102.35310218990269,100000.0,57,9,0.23994884919521106,0.1682024332283793,0.16980265421309157,1.0,0,0,-0.0017674209125952444,0.3396636282826991,0.1987179487179487
subj01,lateral,B0,2,156,58.57020818056673,3,0.001,178.8649529057435,100000.0,59,11,0.24400511628822721,-0.018305540690039764,-0.01506118039080653,1.0,0,0,-0.0011769169906466058,0.3396444714699017,0.019230769230769232
subj01,lateral,B0,3,156,102.35310218990269,11,0.001,102.35310218990269,100000.0,48,12,0.24217547523115576,0.13744640721063106,0.1457247892725686,1.0,0,0,0.0008697217162607517,0.34103368313949733,0.1794871794871795
subj01,lateral,B1,0,156,178.8649529057435,9,0.001,48.62601580065353,100000.0,45,12,0.1370575788996599,-0.0700009293858012,-0.0832882924631952,1.0,0,0,-0.0012902157042429846,0.3420406727607995,0.01282051282051282
subj01,lateral,B1,1,156,163.68088956559507,2,0.001,5.21400828799969,100000.0,54,12,0.06439982867571271,-0.05439816951993446,-0.05263672593539323,1.0,0,0,0.00044669423496857257,0.34235777812180884,0.019230769230769232
subj01,lateral,B1,2,156,40.37017258596558,11,0.001,11.165519522907605,100000.0,46,11,0.1899440749350726,-0.09437023467683335,-0.11611963004634646,1.0,0,0,0.0012721319897959302,0.3469910641124432,0.038461538461538464
subj01,lateral,B1,3,156,13.219411484660315,12,0.001,30.670810265729866,100000.0,39,12,0.06489997522578375,0.08492341084585504,0.08126556422188087,1.0,0,0,-0.0018583973086242235,0.34362204980413535,0.14743589743589744
subj01,parietal,B0,0,71,15.922827933410938,6,0.001,33.516026509388475,100000.0,41,2,0.32930153746231106,0.2714818658451988,0.2730514647583902,1.0,0,0,-0.0003816224526583453,0.3399312039160158,0.4225352112676056
subj01,parietal,B0,1,71,33.516026509388475,11,0.001,0.31992671377973847,100000.0,40,2,0.26553262476580486,0.025165830566587777,0.028835696314760503,1.0,0,0,-0.0015960612088710823,0.3413405283086662,0.056338028169014086
subj01,parietal,B0,2,71,0.001,1,0.001,0.005336699231206312,100000.0,39,7,-0.02827377062992762,-0.11385413970777739,-0.21003514783596364,1.0,0,0,-0.0006591697974638407,0.33975866107038544,0.08450704225352113
