subject,roi,fold,pair,s1,s2,AXIS_SINGULAR_GAP,s2_over_s1
subj01,ventral,5,20,9.145309319113741,6.216563745348742,0.32024565507520963,0.6797543449247904
subj01,ventral,5,21,10.212610600938202,5.6754372609756025,0.4442716477945201,0.5557283522054799
subj01,ventral,5,22,9.816241837053536,6.483237009091432,0.3395398038565995,0.6604601961434006
subj01,ventral,5,23,10.392549980212785,6.540929986969369,0.37061356458009115,0.6293864354199088
subj01,ventral,5,24,9.651576020399938,6.316774309034643,0.3455188773643529,0.6544811226356472
subj02,ventral,0,0,11.728116762360852,7.510201907591754,0.35964127406248964,0.6403587259375104
subj02,ventral,0,1,9.873606644967344,6.855405349453789,0.3056837692690499,0.6943162307309502
subj02,ventral,0,2,9.743698074781365,7.201345931994373,0.26092271366321446,0.7390772863367855
subj02,ventral,0,3,9.146333244576708,6.330727009383724,0.3078398916705216,0.6921601083294784
subj02,ventral,0,4,10.693130608009705,5.992429505909258,0.43960008293355923,0.5603999170664408
subj02,ventral,0,5,11.595367311583011,7.054462330399016,0.39161372461637584,0.6083862753836241
subj02,ventral,0,6,9.541588389838893,6.611271289316196,0.3071099884840216,0.6928900115159784
subj02,ventral,0,7,9.7987609902123,6.406984067299195,0.3461434487789888,0.6538565512210113
subj02,ventral,0,8,8.973147724783535,5.786385968338425,0.35514424304454284,0.6448557569554572
subj02,ventral,0,9,10.596911886029446,5.312611263790701,0.4986642032199362,0.5013357967800638
subj02,ventral,0,10,11.589102945435384,7.805112158882002,0.3265128288504666,0.6734871711495334
subj02,ventral,0,11,9.71783044778649,7.164055379545795,0.2627927171565737,0.7372072828434263
subj02,ventral,0,12,10.458746962407368,6.2200381662291235,0.40527883611810694,0.5947211638818931
subj02,ventral,0,13,9.673118610288437,5.6070955090620185,0.4203425249951708,0.5796574750048292
subj02,ventral,0,14,10.767638488304764,5.9653534997254045,0.4459924052795184,0.5540075947204816
subj02,ventral,0,15,11.706380047922535,6.015594224055676,0.4861268642031462,0.5138731357968538
subj02,ventral,0,16,9.488344527972274,5.80782756406283,0.38789874809657615,0.6121012519034238
subj02,ventral,0,17,9.82783255756976,5.430248137576061,0.4474622857312029,0.552537714268797
subj02,ventral,0,18,8.675696270082717,5.266940547223688,0.39290860545842154,0.6070913945415785
subj02,ventral,0,19,10.070708201999956,5.3016923811122,0.4735531727491291,0.5264468272508709
subj02,ventral,0,20,11.700371722049692,7.59194801721136,0.35113616921211893,0.6488638307878811
subj02,ventral,0,21,9.496385684812836,7.4086346418189555,0.21984690937023876,0.7801530906297612
subj02,ventral,0,22,10.216982141627525,6.557196730938408,0.35820610821838317,0.6417938917816168
subj02,ventral,0,23,9.726475773274814,5.451027698141228,0.4395680588524287,0.5604319411475712
subj02,ventral,0,24,10.790611618461186,5.865106318609359,0.45646210557935335,0.5435378944206466
subj02,ventral,1,0,10.710197047938172,5.304146566900975,0.5047573314328441,0.4952426685671559
subj02,ventral,1,1,10.178505544655668,6.358077221717473,0.3753427559848559,0.6246572440151441
subj02,ventral,1,2,10.432487511140442,6.170103008544882,0.40856837815946845,0.5914316218405316
subj02,ventral,1,3,9.837924186145372,5.4262612918406825,0.4484343252530427,0.5515656747469573
subj02,ventral,1,4,10.907719725851443,5.001889060669161,0.5414358650218509,0.4585641349781491
subj02,ventral,1,5,10.008602349392259,6.551790046586354,0.34538411879415004,0.65461588120585
subj02,ventral,1,6,9.80278465563536,6.941780482637436,0.2918562707947694,0.7081437292052306
subj02,ventral,1,7,9.868352134448998,7.055379164201537,0.2850499183574709,0.7149500816425292
subj02,ventral,1,8,9.505418887130096,6.010978112906456,0.36762617362975486,0.6323738263702452
subj02,ventral,1,9,10.577400884091036,5.689606007816182,0.4620979132620711,0.5379020867379288
subj02,ventral,1,10,10.476163634177103,6.362968710663011,0.3926241577685305,0.6073758422314696
subj02,ventral,1,11,10.042293642124575,7.111578107519701,0.2918372673660281,0.7081627326339719
subj02,ventral,1,12,10.596386932836966,6.48217821953842,0.3882652397817877,0.6117347602182124
subj02,ventral,1,13,10.100880039617573,5.621064847431343,0.44350741466243954,0.5564925853375604
subj02,ventral,1,14,10.829864369057589,5.840065516318097,0.4607443530868247,0.5392556469131753
subj02,ventral,1,15,9.868137192886946,5.630875524503157,0.4293882001800756,0.5706117998199244
subj02,ventral,1,16,9.747530033088788,5.937792397448507,0.39084133341552324,0.6091586665844768
subj02,ventral,1,17,10.018810387172426,5.724945803524974,0.4285802822603667,0.5714197177396333
