subject,roi,fold,di,dj,SIM
subj05,ventral,3,2,4,0.13698153399956586
subj05,ventral,3,2,5,0.08147290345976319
subj05,ventral,3,2,6,0.18435191480494714
subj05,ventral,3,3,4,0.26063676580906414
subj05,ventral,3,3,5,0.1505606562042851
subj05,ventral,3,3,6,0.390998777305728
subj05,ventral,3,4,5,0.12434234530963578
subj05,ventral,3,4,6,0.26991376230687525
subj05,ventral,3,5,6,0.1476577983057571
subj05,ventral,4,0,1,0.09148932483606596
subj05,ventral,4,0,2,0.14388753918204844
subj05,ventral,4,0,3,0.2100343945731527
subj05,ventral,4,0,4,0.08072534031672596
subj05,ventral,4,0,5,0.11753070470872394
subj05,ventral,4,0,6,0.2203543234680192
subj05,ventral,4,1,2,0.14095206931245102
subj05,ventral,4,1,3,0.16287240335591202
subj05,ventral,4,1,4,0.10984937500634218
subj05,ventral,4,1,5,0.11845818019589974
subj05,ventral,4,1,6,0.2449894242164921
subj05,ventral,4,2,3,0.22706199427107981
subj05,ventral,4,2,4,0.10496145080748116
subj05,ventral,4,2,5,0.15080082963519398
subj05,ventral,4,2,6,0.2471475274878132
subj05,ventral,4,3,4,0.13840472077238108
subj05,ventral,4,3,5,0.21932982910838886
